"long","lat","amon"
164.625,-24.125,1
159.625,-26.125,1
159.625,-15.625,1
160.375,-16.375,1
156.875,-13.625,1
165.125,-10.125,1
156.125,-17.625,1
171.875,-25.875,1
151.875,-12.625,1
168.375,-26.125,1
162.375,-13.625,1
171.625,-21.875,1
153.625,-23.625,1
159.125,-28.375,1
163.375,-13.875,1
167.125,-19.875,1
161.125,-26.875,1
171.875,-15.125,1
152.625,-15.875,1
165.625,-20.875,1
160.625,-17.375,1
165.875,-26.875,1
160.875,-18.375,1
171.375,-22.875,1
165.375,-10.625,1
155.875,-27.125,1
159.125,-21.125,1
154.125,-19.125,1
174.375,-21.875,1
152.875,-18.625,1
166.875,-12.375,1
171.125,-19.625,1
155.625,-29.875,1
161.125,-27.625,1
171.875,-19.875,1
156.625,-17.625,1
153.375,-14.375,1
159.125,-15.875,1
158.625,-22.375,1
159.125,-19.875,1
153.875,-16.125,1
160.125,-26.125,1
172.625,-19.875,1
162.125,-23.125,1
164.125,-28.375,1
171.625,-32.125,1
168.375,-24.375,1
156.875,-28.625,1
153.625,-19.625,1
158.375,-14.875,1
152.875,-24.875,2
173.625,-36.625,2
168.875,-19.125,2
165.875,-24.625,2
162.375,-22.625,2
156.875,-25.375,2
159.375,-25.625,2
159.875,-20.375,2
152.375,-18.875,2
156.125,-26.125,2
163.125,-21.875,2
171.125,-25.375,2
169.125,-27.125,2
171.875,-17.125,2
172.875,-18.125,2
158.125,-34.375,2
171.625,-21.375,2
162.125,-19.125,2
173.375,-19.625,2
167.125,-29.125,2
163.625,-27.625,2
151.125,-19.875,2
163.625,-12.375,2
155.625,-13.875,2
161.875,-21.125,2
166.125,-17.375,2
169.625,-25.125,2
162.375,-16.375,2
162.125,-23.125,2
165.125,-17.625,2
160.125,-17.375,2
165.375,-18.375,2
163.375,-23.625,2
159.125,-21.875,2
171.125,-22.625,2
152.375,-16.875,2
158.875,-33.625,2
158.375,-14.875,2
159.375,-18.875,2
169.375,-23.125,2
165.875,-20.875,3
153.625,-18.875,3
156.375,-24.875,3
171.125,-22.375,3
171.125,-30.125,3
166.375,-20.125,3
173.875,-25.125,3
159.125,-20.125,3
155.625,-27.375,3
166.625,-18.875,3
173.625,-13.625,3
169.875,-17.375,3
170.875,-27.875,3
170.375,-27.625,3
154.125,-31.625,3
174.625,-22.875,3
168.125,-21.125,3
160.875,-22.625,3
167.375,-15.625,3
173.625,-23.875,3
155.375,-20.375,3
167.875,-19.125,3
153.875,-20.125,3
174.125,-17.875,3
159.125,-19.125,3
157.375,-27.875,3
166.375,-17.875,3
165.375,-11.625,3
171.125,-16.625,3
159.375,-31.375,3
156.125,-32.375,3
172.875,-22.625,3
171.875,-26.375,3
170.875,-16.125,3
154.875,-15.875,3
163.625,-27.375,3
161.625,-19.125,3
156.875,-27.375,3
166.375,-18.125,3
173.375,-18.875,4
172.875,-26.875,4
173.875,-30.375,4
171.625,-18.375,4
173.125,-21.125,4
154.375,-21.875,4
169.875,-22.625,4
173.625,-22.875,4
165.125,-26.375,4
153.375,-19.125,4
166.625,-19.875,4
172.625,-34.875,4
168.875,-27.875,4
174.125,-18.875,4
168.875,-22.125,4
165.875,-19.875,4
173.375,-19.125,4
160.625,-28.375,4
154.125,-22.125,4
151.625,-15.125,4
173.125,-20.125,4
165.625,-11.125,4
156.875,-21.375,4
166.875,-20.125,4
162.125,-35.625,4
163.875,-20.875,4
163.125,-29.125,4
169.125,-32.125,4
160.125,-21.625,4
164.375,-20.875,4
164.125,-14.875,4
163.125,-15.625,4
162.875,-32.875,4
171.875,-10.125,4
169.625,-31.875,4
169.625,-10.625,4
153.375,-22.625,4
158.875,-27.875,4
166.125,-10.375,4
157.125,-28.125,4
168.625,-22.875,4
168.875,-29.875,4
156.875,-35.125,4
151.125,-16.125,4
173.375,-24.875,4
158.875,-13.625,4
156.375,-27.875,4
166.375,-23.125,4
162.125,-37.125,4
151.625,-20.125,4
153.375,-16.375,4
156.625,-17.125,4
161.125,-19.375,5
174.375,-12.875,5
160.625,-33.375,5
154.875,-30.375,5
161.875,-18.625,5
151.375,-19.625,5
170.625,-31.875,5
158.375,-24.125,5
151.875,-13.375,5
161.125,-34.625,5
157.375,-30.625,5
162.875,-14.375,5
153.375,-18.625,5
158.625,-24.125,5
154.875,-25.875,5
173.625,-24.375,5
160.625,-10.125,5
154.875,-19.625,5
162.125,-27.375,5
153.625,-18.125,5
165.125,-14.375,5
158.625,-27.125,5
160.625,-27.625,5
173.375,-20.875,5
159.625,-19.875,5
164.375,-13.875,5
156.625,-16.875,5
172.125,-20.375,5
170.375,-21.375,5
164.125,-18.875,5
164.125,-11.125,5
171.875,-12.375,5
164.625,-29.625,5
171.625,-13.125,5
163.125,-12.125,5
172.875,-24.625,5
155.375,-19.375,5
154.875,-23.375,5
173.125,-21.375,5
165.375,-20.875,5
155.625,-24.125,5
174.625,-12.375,5
171.625,-13.875,5
168.875,-20.625,6
171.375,-20.375,6
154.125,-16.875,6
159.875,-16.375,6
165.625,-25.125,6
150.625,-18.625,6
165.125,-24.125,6
174.625,-15.875,6
165.375,-24.375,6
173.875,-18.375,6
169.625,-23.125,6
153.375,-18.625,6
159.375,-11.625,6
168.125,-11.875,6
154.125,-23.375,6
174.375,-19.125,6
157.875,-25.125,6
172.625,-26.875,6
156.625,-30.625,6
156.625,-27.375,6
155.125,-21.125,6
167.125,-30.125,6
158.625,-26.125,6
159.625,-20.625,6
153.375,-14.125,6
161.875,-32.875,6
170.125,-35.125,6
152.875,-16.375,6
166.125,-29.125,6
153.125,-20.125,6
154.375,-18.125,6
162.875,-21.125,6
174.375,-37.375,6
153.875,-19.125,6
155.375,-23.375,6
174.625,-20.875,6
153.875,-18.875,6
174.625,-13.875,6
169.875,-21.625,6
169.125,-13.875,6
161.125,-27.125,6
169.625,-15.375,6
173.625,-21.875,6
170.125,-21.125,6
155.875,-28.625,6
170.625,-11.375,6
155.625,-24.125,7
153.375,-26.625,7
156.875,-22.625,7
163.375,-14.875,7
154.625,-24.125,7
162.125,-24.125,7
174.375,-19.625,7
157.875,-25.875,7
172.125,-21.875,7
163.625,-13.375,7
166.375,-25.125,7
174.875,-21.625,7
152.125,-34.125,7
161.875,-28.875,7
174.375,-22.875,7
152.375,-33.625,7
174.125,-10.625,7
164.125,-16.625,7
168.375,-21.875,7
166.875,-15.875,7
166.625,-11.875,7
171.125,-28.875,7
168.625,-26.375,7
173.625,-17.625,7
172.625,-20.375,7
173.375,-19.625,7
167.875,-14.125,7
154.375,-19.125,7
166.625,-28.875,7
174.125,-11.875,7
152.125,-21.875,7
164.125,-22.125,7
164.125,-30.625,7
157.875,-23.625,7
157.875,-34.375,7
163.875,-36.875,7
162.875,-32.125,7
174.875,-18.375,7
170.625,-11.125,7
156.125,-12.875,7
152.125,-19.375,7
161.875,-23.125,7
171.875,-25.375,7
158.375,-22.875,7
163.625,-22.125,7
161.375,-16.125,7
169.125,-29.625,7
167.125,-37.375,7
168.875,-28.375,8
173.375,-21.625,8
169.875,-31.375,8
153.375,-12.125,8
164.625,-19.125,8
157.125,-35.125,8
157.125,-16.375,8
167.625,-21.875,8
154.875,-11.625,8
164.125,-38.625,8
157.625,-25.875,8
167.625,-18.625,8
171.875,-18.625,8
168.625,-14.375,8
164.875,-22.625,8
172.125,-17.375,8
155.125,-21.625,8
170.125,-12.625,8
169.125,-21.875,8
168.375,-22.375,8
171.875,-23.375,8
169.125,-25.875,8
161.125,-17.875,8
159.375,-36.125,8
154.375,-28.375,8
159.875,-15.625,8
168.375,-14.375,8
162.625,-30.625,8
169.625,-26.875,8
157.125,-25.875,8
165.125,-30.875,8
171.625,-22.125,8
169.875,-24.875,8
166.625,-17.375,8
155.375,-15.625,9
168.875,-19.875,9
157.875,-16.375,9
161.125,-11.875,9
168.875,-25.125,9
172.375,-14.375,9
164.875,-18.625,9
156.875,-29.875,9
174.875,-36.375,9
166.375,-19.875,9
161.125,-17.625,9
159.875,-26.625,9
172.375,-18.375,9
174.125,-15.125,9
155.625,-21.875,9
165.375,-21.875,9
166.375,-28.375,9
154.875,-20.875,9
163.375,-27.875,9
161.875,-25.125,9
151.625,-16.875,9
162.875,-23.375,9
171.125,-25.625,9
155.875,-25.875,9
164.375,-27.125,9
160.625,-27.375,9
153.875,-22.125,9
163.625,-13.625,9
155.625,-38.875,9
168.125,-12.125,9
173.625,-12.875,9
174.125,-18.625,9
174.625,-11.625,9
152.375,-14.875,9
156.875,-16.125,9
153.875,-24.125,9
157.375,-23.125,10
156.625,-13.125,10
174.625,-20.625,10
165.625,-17.375,10
150.625,-19.375,10
162.125,-28.375,10
167.875,-15.375,10
164.125,-19.625,10
169.875,-28.375,10
172.875,-24.625,10
171.125,-17.375,10
165.625,-12.875,10
173.125,-21.875,10
172.125,-16.375,10
156.375,-38.875,10
167.875,-23.375,10
164.375,-17.125,10
173.625,-16.875,10
155.625,-21.625,10
160.625,-12.875,10
169.625,-29.125,10
174.375,-24.125,10
164.625,-26.125,10
153.125,-32.125,10
169.375,-11.125,10
163.375,-27.125,10
159.625,-28.375,10
163.375,-26.875,10
157.375,-15.875,10
169.125,-21.625,10
174.375,-17.125,10
171.875,-21.625,10
173.875,-22.875,10
164.125,-23.375,10
167.875,-23.125,10
157.375,-20.875,10
165.125,-12.125,10
170.625,-11.125,10
152.375,-19.125,10
168.375,-15.625,10
163.625,-16.375,10
164.875,-23.125,10
156.125,-10.375,10
166.875,-16.625,10
156.375,-13.375,10
164.625,-24.375,10
